Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY16-17,7/1/2016,7313,Automotive Machinist,130,SFMTA,7313J,3377,3377,,42.2125,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7314,Aprnt  Stationary Engineer I,39,COMMN,7314J,2252,2771,,28.15,30.3125,32.475,34.6375,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7314,Aprnt  Stationary Engineer I,39,SFMTA,7314J,2252,2771,,28.15,30.3125,32.475,34.6375,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7315,Auto Machinist Asst Sprv,130,COMMN,7315J,3984,3984,,49.8,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7315,Auto Machinist Asst Sprv,130,SFMTA,7315J,3984,3984,,49.8,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7316,Water Service Inspector,38,COMMN,7420,3410,4145,,42.625,44.7625,47,49.35,51.8125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7316,Water Service Inspector,38,SFMTA,7420,3410,4145,,42.625,44.7625,47,49.35,51.8125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7317,Senior Water Service Inspector,38,COMMN,7720,3948,4799,,49.35,51.8125,54.4,57.125,59.9875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7317,Senior Water Service Inspector,38,SFMTA,7720,3948,4799,,49.35,51.8125,54.4,57.125,59.9875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7318,Electronic Maintenance Tech,6,COMMN,7540,3618,4397,,45.225,47.4875,49.8625,52.35,54.9625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7318,Electronic Maintenance Tech,6,SFMTA,7550,3633,4416,,45.4125,47.6875,50.075,52.575,55.2,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7319,Electric Motor Repairer,6,COMMN,7040,2835,3446,,35.4375,37.2125,39.075,41.025,43.075,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7319,Electric Motor Repairer,6,SFMTA,7050,2847,3460,,35.5875,37.3625,39.225,41.1875,43.25,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7320,Apprntce Automotive Machinist1,130,COMMN,7320J,1857,2364,,23.2125,25.325,27.4375,29.55,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7320,Apprntce Automotive Machinist1,130,SFMTA,7320J,1857,2364,,23.2125,25.325,27.4375,29.55,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7321,Apprntce Automotive Machinist2,130,COMMN,7321J,2533,3039,,31.6625,33.775,35.875,37.9875,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7321,Apprntce Automotive Machinist2,130,SFMTA,7321J,2533,3039,,31.6625,33.775,35.875,37.9875,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7322,Auto Body&Fender Wrk Asst Sprv,130,COMMN,7322J,3984,3984,,49.8,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7322,Auto Body&Fender Wrk Asst Sprv,130,SFMTA,7322J,3984,3984,,49.8,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7324,Beautician,250,COMMN,6540,2221,2700,,27.7625,29.15,30.6125,32.1375,33.75,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7324,Beautician,250,SFMTA,6540,2221,2700,,27.7625,29.15,30.6125,32.1375,33.75,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7325,General Utility Mechanic,130,COMMN,7325J,3560,3560,,44.5,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7325,General Utility Mechanic,130,SFMTA,7325J,3560,3560,,44.5,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7326,Glazier,718,COMMN,7110,2933,3566,,36.6625,38.5,40.425,42.45,44.575,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7326,Glazier,718,SFMTA,7110,2933,3566,,36.6625,38.5,40.425,42.45,44.575,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7327,Apprentice Maint Machinist 1,130,COMMN,7327J,1895,2412,,23.6875,25.85,28,30.15,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7327,Apprentice Maint Machinist 1,130,SFMTA,7327J,1895,2412,,23.6875,25.85,28,30.15,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7328,"Operating Engineer, Universal",3,COMMN,7265,3162,3844,,39.525,41.5,43.575,45.7625,48.05,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7328,"Operating Engineer, Universal",3,SFMTA,7265,3162,3844,,39.525,41.5,43.575,45.7625,48.05,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7329,Electr Maint Tech Asst Sprv,6,COMMN,7700,3910,4753,,48.875,51.325,53.8875,56.5875,59.4125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7329,Electr Maint Tech Asst Sprv,6,SFMTA,7710,3931,4779,,49.1375,51.6,54.175,56.8875,59.7375,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7330,Sr General Utility Mechanic,130,COMMN,7330J,3589,3589,,44.8625,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7330,Sr General Utility Mechanic,130,SFMTA,7330J,3589,3589,,44.8625,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7331,Apprentice Maint Machinist 2,130,COMMN,7331J,2585,3101,,32.3125,34.4625,36.6125,38.7625,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7331,Apprentice Maint Machinist 2,130,SFMTA,7331J,2585,3101,,32.3125,34.4625,36.6125,38.7625,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7332,Maintenance Machinist,130,COMMN,7040,2835,3446,,35.4375,37.2125,39.075,41.025,43.075,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7332,Maintenance Machinist,130,SFMTA,7040,2835,3446,,35.4375,37.2125,39.075,41.025,43.075,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7333,Aprnt Stationary Engineer II,39,COMMN,7333J,2252,3291,,28.15,30.3125,32.475,34.6375,36.8,38.975,41.1375,,,,,,,,,,,,,
FY16-17,7/1/2016,7333,Aprnt Stationary Engineer II,39,SFMTA,7333J,2252,3291,,28.15,30.3125,32.475,34.6375,36.8,38.975,41.1375,,,,,,,,,,,,,
FY16-17,7/1/2016,7334,Stationary Engineer,39,COMMN,7334J,3464,3464,,43.3,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7334,Stationary Engineer,39,SFMTA,7334J,3464,3464,,43.3,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7335,Senior Stationary Engineer,39,COMMN,7335J,3926,3926,,49.075,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7335,Senior Stationary Engineer,39,SFMTA,7335J,3926,3926,,49.075,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7336,Electr Instrmntn Tech Wtr Poll,21,COMMN,7575,3679,4471,,45.9875,48.275,50.7,53.225,55.8875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7336,Electr Instrmntn Tech Wtr Poll,21,SFMTA,7575,3679,4471,,45.9875,48.275,50.7,53.225,55.8875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7337,Main Machinist Asst Sprv,130,COMMN,7320,3248,3948,,40.6,42.625,44.7625,47,49.35,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7337,Main Machinist Asst Sprv,130,SFMTA,7320,3248,3948,,40.6,42.625,44.7625,47,49.35,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7338,Electrical Line Worker,6,SFMTA,7338J,3965,3965,,49.5625,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7339,"AprntcStnry Eng,WtrTreatPlnt I",39,COMMN,7339J,2482,3055,5,31.025,33.4125,35.8,38.1875,40.575,42.9625,45.35,,,,,,,,,,,,,
FY16-17,7/1/2016,7339,"AprntcStnry Eng,WtrTreatPlnt I",39,SFMTA,7339J,2482,3055,5,31.025,33.4125,35.8,38.1875,40.575,42.9625,45.35,,,,,,,,,,,,,
FY16-17,7/1/2016,7340,Maintenance Controller,130,SFMTA,7340J,3984,3984,,49.8,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7341,Statnry Eng Water Treat Plant,39,COMMN,7341J,3819,3819,,47.7375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7341,Statnry Eng Water Treat Plant,39,SFMTA,7341J,3819,3819,,47.7375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7342,Locksmith,236,COMMN,7090,2902,3527,,36.275,38.0875,39.9875,41.9875,44.0875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7342,Locksmith,236,SFMTA,7090,2902,3527,,36.275,38.0875,39.9875,41.9875,44.0875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7343,"Sr Statnry Eng, Wtr Treat Plnt",39,COMMN,7343J,4323,4323,,54.0375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7343,"Sr Statnry Eng, Wtr Treat Plnt",39,SFMTA,7343J,4323,4323,,54.0375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7344,Carpenter,236,COMMN,7090,2902,3527,,36.275,38.0875,39.9875,41.9875,44.0875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7344,Carpenter,236,SFMTA,7090,2902,3527,,36.275,38.0875,39.9875,41.9875,44.0875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7345,Electrician,6,COMMN,7330,3263,3966,,40.7875,42.825,44.9625,47.2125,49.575,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7345,Electrician,6,SFMTA,7340,3282,3989,,41.025,43.075,45.225,47.4875,49.8625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7346,Painter,4,COMMN,6920,2672,3248,,33.4,35.075,36.825,38.6625,40.6,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7346,Painter,4,SFMTA,6920,2672,3248,,33.4,35.075,36.825,38.6625,40.6,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7347,Plumber,38,COMMN,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7347,Plumber,38,SFMTA,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7348,Steamfitter,38,COMMN,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7348,Steamfitter,38,SFMTA,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7349,Steamfitter Supervisor I,38,COMMN,7640,3799,4617,,47.4875,49.8625,52.35,54.9625,57.7125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7349,Steamfitter Supervisor I,38,SFMTA,7640,3799,4617,,47.4875,49.8625,52.35,54.9625,57.7125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7350,Trans and Dist Line Worker,6,COMMN,7350J,4372,4372,,54.65,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7352,"AprntStnry Eng,WtrTreatPlnt II",39,COMMN,7352J,3246,3628,,40.575,42.9625,45.35,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7352,"AprntStnry Eng,WtrTreatPlnt II",39,SFMTA,7352J,3246,3628,,40.575,42.9625,45.35,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7353,Water Meter Repairer,38,COMMN,6840,2571,3126,,32.1375,33.75,35.4375,37.2125,39.075,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7353,Water Meter Repairer,38,SFMTA,6840,2571,3126,,32.1375,33.75,35.4375,37.2125,39.075,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7354,Apprentice Power Line Worker 1,6,COMMN,7354J,2405,3060,,30.0625,32.7875,35.525,38.25,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7354,Apprentice Power Line Worker 1,6,SFMTA,7354J,2405,3060,,30.0625,32.7875,35.525,38.25,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7355,Truck Driver,216,COMMN,7355J,2622,3339,,32.775,35.2375,36.0875,37.8625,38.8,41.7375,,,,,,,,,,,,,,
FY16-17,7/1/2016,7355,Truck Driver,216,SFMTA,7355J,2622,3339,,32.775,35.2375,36.0875,37.8625,38.8,41.7375,,,,,,,,,,,,,,
FY16-17,7/1/2016,7356,"Aprt Stnry Eng, Sew Plant II",39,COMMN,7356J,3246,3628,,40.575,42.9625,45.35,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7356,"Aprt Stnry Eng, Sew Plant II",39,SFMTA,7356J,3246,3628,,40.575,42.9625,45.35,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7357,Apprentice Power Line Worker 2,6,COMMN,7357J,3279,3935,,40.9875,43.725,46.45,49.1875,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7357,Apprentice Power Line Worker 2,6,SFMTA,7357J,3279,3935,,40.9875,43.725,46.45,49.1875,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7358,Pattern Maker,236,COMMN,7190,3047,3703,,38.0875,39.9875,41.9875,44.0875,46.2875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7358,Pattern Maker,236,SFMTA,7190,3047,3703,,38.0875,39.9875,41.9875,44.0875,46.2875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7360,Pipe Welder,38,COMMN,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7360,Pipe Welder,38,SFMTA,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7361,Plasterer,66,COMMN,7300,3217,3910,,40.2125,42.225,44.3375,46.55,48.875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7361,Plasterer,66,SFMTA,7300,3217,3910,,40.2125,42.225,44.3375,46.55,48.875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7362,Communications Systems Tech,790,COMMN,7630,3777,4591,,47.2125,49.575,52.05,54.65,57.3875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7362,Communications Systems Tech,790,SFMTA,7630,3777,4591,,47.2125,49.575,52.05,54.65,57.3875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7364,Power House Operator,6,SFMTA,6875,2614,3178,,32.675,34.3125,36.025,37.8375,39.725,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7365,Senior Power House Operator,6,SFMTA,7115,2940,3574,,36.75,38.5875,40.5125,42.5375,44.675,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7366,Transit Power Line Worker,6,SFMTA,7366J,3837,4127,,47.9625,49.1625,50.4,51.5875,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7368,Senior Comm Systems Technican,790,COMMN,7930,4372,5315,,54.65,57.3875,60.2625,63.275,66.4375,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7368,Senior Comm Systems Technican,790,SFMTA,7930,4372,5315,,54.65,57.3875,60.2625,63.275,66.4375,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7370,Rigger,3,COMMN,6745,2454,2983,,30.675,32.2125,33.825,35.5125,37.2875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7370,Rigger,3,SFMTA,6745,2454,2983,,30.675,32.2125,33.825,35.5125,37.2875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7371,Electrical Transit System Mech,6,SFMTA,7050,2847,3460,,35.5875,37.3625,39.225,41.1875,43.25,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7372,"Stationary Eng, Sewage Plant",39,COMMN,7372J,3819,3819,,47.7375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7372,"Stationary Eng, Sewage Plant",39,SFMTA,7372J,3819,3819,,47.7375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7373,"Sr. Stationary Eng, Sew Plant",39,COMMN,7373J,4323,4323,,54.0375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7373,"Sr. Stationary Eng, Sew Plant",39,SFMTA,7373J,4323,4323,,54.0375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7375,"Aprntc Stnry Eng, Sew Plant 1",39,COMMN,7375J,2482,3055,5,31.025,33.4125,35.8,38.1875,40.575,42.9625,45.35,,,,,,,,,,,,,
FY16-17,7/1/2016,7375,"Aprntc Stnry Eng, Sew Plant 1",39,SFMTA,7375J,2482,3055,5,31.025,33.4125,35.8,38.1875,40.575,42.9625,45.35,,,,,,,,,,,,,
FY16-17,7/1/2016,7376,Sheet Metal Worker,104,COMMN,7410,3396,4128,,42.45,44.575,46.8,49.1375,51.6,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7376,Sheet Metal Worker,104,SFMTA,7410,3396,4128,,42.45,44.575,46.8,49.1375,51.6,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7377,Stage Electrician,16,COMMN,7230,3108,3777,,38.85,40.7875,42.825,44.9625,47.2125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7377,Stage Electrician,16,SFMTA,7230,3108,3777,,38.85,40.7875,42.825,44.9625,47.2125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7378,Tile Setter,7,COMMN,6920,2672,3248,,33.4,35.075,36.825,38.6625,40.6,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7378,Tile Setter,7,SFMTA,6920,2672,3248,,33.4,35.075,36.825,38.6625,40.6,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7380,"Electrl Trnst Mech, Asst Sprv",6,SFMTA,7350,3295,4006,,41.1875,43.25,45.4125,47.6875,50.075,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7381,Automotive Mechanic,130,COMMN,7381J,3307,3307,,41.3375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7381,Automotive Mechanic,130,SFMTA,7381J,3307,3307,,41.3375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7382,Automotive Mechanic Asst Sprv,130,COMMN,7382J,3984,3984,,49.8,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7382,Automotive Mechanic Asst Sprv,130,SFMTA,7382J,3984,3984,,49.8,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7388,Utility Plumber,38,COMMN,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7388,Utility Plumber,38,SFMTA,7400,3378,4106,,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7389,Metalsmith,377,COMMN,6770,2483,3018,,31.0375,32.5875,34.2125,35.925,37.725,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7389,Metalsmith,377,SFMTA,6770,2483,3018,,31.0375,32.5875,34.2125,35.925,37.725,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7390,Welder,6,COMMN,7050,2847,3460,,35.5875,37.3625,39.225,41.1875,43.25,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7390,Welder,6,SFMTA,7060,2862,3479,,35.775,37.5625,39.4375,41.4125,43.4875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7392,Window Cleaner,790,COMMN,6830,2557,3108,,31.9625,33.5625,35.2375,37,38.85,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7392,Window Cleaner,790,SFMTA,6830,2557,3108,,31.9625,33.5625,35.2375,37,38.85,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7393,Soft Floor Coverer,12,COMMN,7090,2902,3527,,36.275,38.0875,39.9875,41.9875,44.0875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7394,Soft Floor Coverer Supvr I,12,COMMN,7520,3581,4352,,44.7625,47,49.35,51.8125,54.4,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7395,Ornamental Iron Worker,377,COMMN,7020,2806,3410,,35.075,36.825,38.6625,40.6,42.625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7395,Ornamental Iron Worker,377,SFMTA,7020,2806,3410,,35.075,36.825,38.6625,40.6,42.625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7398,Apprentice Cement Mason I,580,COMMN,7398J,2032,2345,,25.4,27.35,29.3125,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7399,Apprentice Cement Mason II,580,COMMN,7399J,2501,2970,,31.2625,33.2125,37.125,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7404,Asphalt Finisher,261,COMMN,6575,2258,2745,,28.225,29.6375,31.125,32.675,34.3125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7404,Asphalt Finisher,261,SFMTA,6575,2258,2745,,28.225,29.6375,31.125,32.675,34.3125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7408,Assistant Power House Operator,6,SFMTA,6405,2079,2527,,25.9875,27.2875,28.65,30.0875,31.5875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7410,Automotive Service Worker,252,COMMN,6525,2204,2679,,27.55,28.925,30.375,31.8875,33.4875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7410,Automotive Service Worker,252,SFMTA,6525,2204,2679,,27.55,28.925,30.375,31.8875,33.4875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7412,Auto Svc Wrk Asst Sprv,200,COMMN,6720,2424,2946,,30.3,31.8125,33.4,35.075,36.825,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7412,Auto Svc Wrk Asst Sprv,200,SFMTA,6660,2354,2862,,29.425,30.9,32.45,34.075,35.775,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7416,Book Repairer,790,COMMN,6300,1975,2401,,24.6875,25.925,27.225,28.5875,30.0125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7416,Book Repairer,790,SFMTA,6300,1975,2401,,24.6875,25.925,27.225,28.5875,30.0125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7418,Senior Book Repairer,790,COMMN,6690,2388,2902,,29.85,31.3375,32.9,34.55,36.275,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7418,Senior Book Repairer,790,SFMTA,6690,2388,2902,,29.85,31.3375,32.9,34.55,36.275,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7420,Bridgetender,39,COMMN,7420J,2763,2763,,34.5375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7420,Bridgetender,39,SFMTA,7420J,2763,2763,,34.5375,,,,,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7421,Sewer Maintenance Worker,261,COMMN,6695,2395,2910,,29.9375,31.425,33,34.65,36.375,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7421,Sewer Maintenance Worker,261,SFMTA,6695,2395,2910,,29.9375,31.425,33,34.65,36.375,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7424,Dryer Mixer Operator,3,COMMN,6965,2732,3320,,34.15,35.85,37.65,39.525,41.5,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7424,Dryer Mixer Operator,3,SFMTA,6965,2732,3320,,34.15,35.85,37.65,39.525,41.5,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7428,Hodcarrier,36,COMMN,6850,2582,3138,,32.275,33.8875,35.5875,37.3625,39.225,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7428,Hodcarrier,36,SFMTA,6850,2582,3138,,32.275,33.8875,35.5875,37.3625,39.225,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7430,Asst Electronic Main Tech,6,COMMN,7240,3126,3799,,39.075,41.025,43.075,45.225,47.4875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7430,Asst Electronic Main Tech,6,SFMTA,7250,3138,3815,,39.225,41.1875,43.25,45.4125,47.6875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7432,Electrical Line Helper,6,COMMN,6930,2685,3263,,33.5625,35.2375,37,38.85,40.7875,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7432,Electrical Line Helper,6,SFMTA,6940,2700,3282,,33.75,35.4375,37.2125,39.075,41.025,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7434,Maintenance Machinist Helper,130,COMMN,6410,2084,2533,,26.05,27.35,28.7125,30.15,31.6625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7434,Maintenance Machinist Helper,130,SFMTA,6410,2084,2533,,26.05,27.35,28.7125,30.15,31.6625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7441,Tools Room Mechanic/Custodian,790,COMMN,6050,1748,2124,,21.85,22.9375,24.0875,25.2875,26.55,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7441,Tools Room Mechanic/Custodian,790,SFMTA,6050,1748,2124,,21.85,22.9375,24.0875,25.2875,26.55,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7444,Parking Meter Repairer,856,COMMN,6750,2459,2989,,30.7375,32.275,33.8875,35.5875,37.3625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7444,Parking Meter Repairer,856,SFMTA,6750,2459,2989,,30.7375,32.275,33.8875,35.5875,37.3625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7449,Sewer Service Worker,38,COMMN,7280,3189,3873,,39.8625,41.825,43.9125,46.1125,48.4125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7449,Sewer Service Worker,38,SFMTA,7280,3189,3873,,39.8625,41.825,43.9125,46.1125,48.4125,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7450,Shade and Drapery Worker,790,COMMN,6390,2063,2507,,25.7875,27.075,28.425,29.85,31.3375,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7450,Shade and Drapery Worker,790,SFMTA,6390,2063,2507,,25.7875,27.075,28.425,29.85,31.3375,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7454,Traffic Signal Operator,790,SFMTA,5830,1573,1909,,19.6625,20.625,21.6375,22.725,23.8625,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7457,Sign Worker,21,COMMN,6585,2269,2758,,28.3625,29.7875,31.275,32.8375,34.475,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7457,Sign Worker,21,SFMTA,6585,2269,2758,,28.3625,29.7875,31.275,32.8375,34.475,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7458,Switch Repairer,261,SFMTA,6605,2292,2786,,28.65,30.0875,31.5875,33.175,34.825,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7463,Utility Plumber Apprentice I,38,COMMN,7463J,2053,3901,,25.6625,28.225,30.8,33.3625,35.925,38.5,41.0625,43.625,46.1875,48.7625,30.8,32.075,33.3625,34.65,35.925,37.2125,38.5,39.775,41.0625,42.3375
FY16-17,7/1/2016,7463,Utility Plumber Apprentice,38,SFMTA,7463J,2053,3901,,25.6625,28.225,30.8,33.3625,35.925,38.5,41.0625,43.625,46.1875,48.7625,30.8,32.075,33.3625,34.65,35.925,37.2125,38.5,39.775,41.0625,42.3375
FY16-17,7/1/2016,7470,Watershed Keeper,790,COMMN,6660,2354,2862,,29.425,30.9,32.45,34.075,35.775,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7470,Watershed Keeper,790,SFMTA,6660,2354,2862,,29.425,30.9,32.45,34.075,35.775,,,,,,,,,,,,,,,
FY16-17,7/1/2016,7472,Wire Rope Cable Maint Mechanic,39,COMMN,7472J,3585,3585,,44.8125,,,,,,,,,,,,,,,,,,,
